128-139GlRpn8,127-133ScRpn8
7.44218,2.11442077
7.49737,2.53822663
8.00296,2.18326257
7.49736,2.04078084
7.14872,2.51788262
7.3931,1.87940401
6.91075,2.27533777
7.84684,2.22887725
7.16293,2.20304673
7.21721,2.27811356
7.76851,2.95273052
7.68178,2.43541375
6.37007,2.60274183
6.93411,2.68606672
7.86541,2.31184679
7.41774,2.37279842
7.20669,2.18684287
7.70158,2.23705578
6.83755,2.51105074
6.96927,2.18064116
7.40855,2.30872717
7.55009,2.1688223
6.74693,2.64124091
6.67369,2.24717432
6.21603,2.39011018
6.14411,2.05337579
6.75058,2.32175065
6.43724,2.88716885
8.02112,2.08955531
7.02169,2.22974612
7.33947,2.4591193
8.03076,2.28043733
6.87052,1.93703745
6.84426,2.24837855
6.74831,2.66757567
7.88377,2.30237812
7.84775,2.37953081
7.21657,2.13933127
6.42558,2.2521478
7.1132,2.03475603
7.80651,2.40415537
7.50052,2.1402715
6.64477,2.49877229
7.0713,2.59131255
8.26832,2.34180216
7.12866,2.18504845
8.14787,2.3700693
6.25273,2.26017543
6.78173,2.6212432
6.7354,2.37610265
6.64064,2.56796166
6.90673,2.31528758
6.34025,2.29816093
7.22258,2.1665049
7.28606,2.08591638
7.03108,2.34683261
6.84395,2.15610964
8.93917,2.17584147
8.3499,2.33229913
7.31,2.48084408
7.32986,2.31047517
7.56234,2.08377957
7.08829,2.04934736
6.47251,2.39796288
8.01836,3.11211173
7.92305,2.45183329
7.53168,2.19769249
9.03545,2.83169433
8.1224,2.6502371
7.74092,2.99912915
7.55309,2.81560868
6.0257,2.62610791
7.18501,2.93830312
7.12654,2.63721365
6.5454,2.53624294
8.04282,2.3323232
6.19542,2.58373336
6.5199,2.63917811
6.88285,2.77521388
6.39443,2.92510848
6.78586,3.10261029
7.1303,2.52126764
6.99003,2.25746099
7.10837,2.40606424
6.77804,2.40302536
6.20375,2.52373432
6.37269,2.7721946
6.55896,1.90699892
5.77878,2.14591422
5.06529,2.45758308
6.5984,2.51626983
6.60924,2.0838696
7.36045,2.14219778
7.84132,2.07791501
7.36881,2.43487275
7.13912,2.45438192
7.71616,2.20715563
7.87563,2.21602447
8.12485,2.32705622
6.74805,2.46845882
8.3814,2.35196633
7.31374,2.29999273
7.22781,2.31667634
9.16018,2.18654002
8.04561,2.35614613
6.33471,2.34843427
6.89377,2.45385389
7.16533,2.16202826
8.23509,2.46397163
7.39553,2.03279245
6.49513,1.95951801
7.1754,2.39730247
7.49769,2.63782767
7.17735,2.11460837
7.94081,2.05230245
7.55844,2.0730452
7.24908,2.78208949
6.99985,2.33038659
7.06215,2.53204072
7.5959,2.59244912
8.39472,2.34032582
7.02636,2.16902828
6.11347,2.2590878
6.29477,2.16012566
6.45213,2.19069687
7.56337,2.39260654
6.7839,3.02637283
7.28705,2.93179017
8.42948,2.28813977
7.21154,2.27021229
6.61231,2.10381939
6.51913,2.2957387
7.45093,2.38260873
7.55169,2.09840513
7.41613,2.15878903
8.40306,2.08742341
8.06937,2.09462837
7.922,2.00395301
7.41143,2.13010448
7.86336,2.3513924
7.5839,2.38344115
7.3377,2.3208095
7.10336,2.48929537
7.2225,2.29540134
7.42514,2.21881667
